_id,Reported_Date,Region,Institution,Total_Active_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date
779,2020-08-26,Western,Elgin-Middlesex Det. Centre,0,1,0
780,2020-08-26,Western,Ottawa Carleton Detention Centre,1,0,1
781,2020-08-27,Northern,Monteith Correctional Centre,0,1,0
782,2020-08-27,Central,Maplehurst Correctional Complex,0,6,3
783,2020-08-27,Central,Ontario Correctional Institute,0,89,2
784,2020-08-27,Toronto,Toronto South Detention Centre,1,11,7
785,2020-08-27,Central,Milton-Vanier Centre For Women,0,1,3
786,2020-08-27,Central,Hamilton Wentworth Det Centre,0,1,0
787,2020-08-27,Eastern,Central East Correctional Centre,0,1,2
788,2020-08-27,Central,Niagara Detention Centre,0,1,1
789,2020-08-27,Western,Central North Correctional Centre,0,1,1
790,2020-08-27,Northern,Kenora Jail,0,2,0
791,2020-08-27,Western,Elgin-Middlesex Det. Centre,0,1,0
792,2020-08-27,Western,Ottawa Carleton Detention Centre,1,0,1
793,2020-08-30,Northern,Monteith Correctional Centre,0,1,0
794,2020-08-30,Central,Maplehurst Correctional Complex,0,6,3
795,2020-08-30,Central,Ontario Correctional Institute,0,89,2
796,2020-08-30,Toronto,Toronto South Detention Centre,1,11,7
797,2020-08-30,Central,Milton-Vanier Centre For Women,0,1,3
798,2020-08-30,Central,Hamilton Wentworth Det Centre,0,1,0
799,2020-08-30,Eastern,Central East Correctional Centre,0,1,2
800,2020-08-30,Central,Niagara Detention Centre,0,1,1
801,2020-08-30,Western,Central North Correctional Centre,0,1,1
802,2020-08-30,Northern,Kenora Jail,0,2,0
803,2020-08-30,Western,Ottawa Carleton Detention Centre,1,0,1
804,2020-08-30,Western,Elgin-Middlesex Det. Centre,0,1,0
805,2020-08-31,Northern,Monteith Correctional Centre,0,1,0
806,2020-08-31,Central,Maplehurst Correctional Complex,0,6,3
807,2020-08-31,Central,Ontario Correctional Institute,0,89,2
808,2020-08-31,Toronto,Toronto South Detention Centre,1,11,7
809,2020-08-31,Central,Milton-Vanier Centre For Women,0,1,3
810,2020-08-31,Central,Hamilton Wentworth Det Centre,0,1,0
811,2020-08-31,Eastern,Central East Correctional Centre,0,1,2
812,2020-08-31,Central,Niagara Detention Centre,0,1,1
813,2020-08-31,Western,Central North Correctional Centre,0,1,1
814,2020-08-31,Northern,Kenora Jail,0,2,0
815,2020-08-31,Western,Ottawa Carleton Detention Centre,1,0,1
816,2020-08-31,Western,South West Detention Center,1,0,0
817,2020-08-31,Toronto,Toronto East Detention Centre,1,0,0
818,2020-08-31,Western,Elgin-Middlesex Det. Centre,0,1,0
819,2020-09-01,Northern,Monteith Correctional Centre,0,1,0
820,2020-09-01,Central,Maplehurst Correctional Complex,0,6,3
821,2020-09-01,Central,Ontario Correctional Institute,0,89,2
822,2020-09-01,Toronto,Toronto South Detention Centre,1,11,7
823,2020-09-01,Central,Milton-Vanier Centre For Women,0,1,3
824,2020-09-01,Central,Hamilton Wentworth Det Centre,0,1,0
825,2020-09-01,Eastern,Central East Correctional Centre,0,1,2
826,2020-09-01,Central,Niagara Detention Centre,0,1,1
827,2020-09-01,Western,Central North Correctional Centre,0,1,1
828,2020-09-01,Northern,Kenora Jail,0,2,0
829,2020-09-01,Western,Ottawa Carleton Detention Centre,1,0,1
830,2020-09-01,Western,South West Detention Center,1,0,0
831,2020-09-01,Toronto,Toronto East Detention Centre,1,0,0
832,2020-09-01,Western,Elgin-Middlesex Det. Centre,0,1,0
833,2020-09-02,Northern,Monteith Correctional Centre,0,1,0
834,2020-09-02,Central,Maplehurst Correctional Complex,0,6,3
835,2020-09-02,Central,Ontario Correctional Institute,0,89,2
836,2020-09-02,Toronto,Toronto South Detention Centre,1,11,7
837,2020-09-02,Central,Milton-Vanier Centre For Women,0,1,3
838,2020-09-02,Central,Hamilton Wentworth Det Centre,0,1,0
839,2020-09-02,Eastern,Central East Correctional Centre,0,1,2
840,2020-09-02,Central,Niagara Detention Centre,0,1,1
841,2020-09-02,Western,Central North Correctional Centre,0,1,1
842,2020-09-02,Northern,Kenora Jail,0,2,0
843,2020-09-02,Western,Ottawa Carleton Detention Centre,1,0,1
844,2020-09-02,Western,South West Detention Center,1,0,0
845,2020-09-02,Toronto,Toronto East Detention Centre,1,0,0
846,2020-09-02,Western,Elgin-Middlesex Det. Centre,0,1,0
847,2020-09-03,Northern,Monteith Correctional Centre,0,1,0
848,2020-09-03,Central,Maplehurst Correctional Complex,0,6,3
849,2020-09-03,Central,Ontario Correctional Institute,0,89,2
850,2020-09-03,Toronto,Toronto South Detention Centre,1,11,7
851,2020-09-03,Central,Milton-Vanier Centre For Women,0,1,3
852,2020-09-03,Central,Hamilton Wentworth Det Centre,0,1,0
853,2020-09-03,Eastern,Central East Correctional Centre,0,1,2
854,2020-09-03,Central,Niagara Detention Centre,0,1,1
855,2020-09-03,Western,Central North Correctional Centre,0,1,1
856,2020-09-03,Northern,Kenora Jail,0,2,0
857,2020-09-03,Western,Ottawa Carleton Detention Centre,1,0,1
858,2020-09-03,Western,South West Detention Center,1,0,0
859,2020-09-03,Toronto,Toronto East Detention Centre,1,0,0
860,2020-09-03,Western,Elgin-Middlesex Det. Centre,0,1,0
861,2020-09-07,Northern,Monteith Correctional Centre,0,1,0
862,2020-09-07,Central,Maplehurst Correctional Complex,0,6,3
863,2020-09-07,Central,Ontario Correctional Institute,0,89,2
864,2020-09-07,Toronto,Toronto South Detention Centre,0,12,7
865,2020-09-07,Central,Milton-Vanier Centre For Women,0,1,3
866,2020-09-07,Central,Hamilton Wentworth Det Centre,0,1,0
867,2020-09-07,Eastern,Central East Correctional Centre,0,1,2
868,2020-09-07,Central,Niagara Detention Centre,0,1,1
869,2020-09-07,Western,Central North Correctional Centre,0,1,1
870,2020-09-07,Northern,Kenora Jail,0,2,0
871,2020-09-07,Western,Ottawa Carleton Detention Centre,1,0,1
872,2020-09-07,Western,South West Detention Center,1,0,0
873,2020-09-07,Toronto,Toronto East Detention Centre,0,1,0
874,2020-09-07,Western,Elgin-Middlesex Det. Centre,0,1,0
875,2020-09-08,Northern,Monteith Correctional Centre,0,1,0
876,2020-09-08,Central,Maplehurst Correctional Complex,0,6,3
877,2020-09-08,Central,Ontario Correctional Institute,0,89,2
878,2020-09-08,Toronto,Toronto South Detention Centre,0,12,7
879,2020-09-08,Central,Milton-Vanier Centre For Women,0,1,3
880,2020-09-08,Central,Hamilton Wentworth Det Centre,0,1,0
881,2020-09-08,Eastern,Central East Correctional Centre,0,1,2
882,2020-09-08,Central,Niagara Detention Centre,0,1,1
883,2020-09-08,Western,Central North Correctional Centre,0,1,1
884,2020-09-08,Northern,Kenora Jail,0,2,0
885,2020-09-08,Western,Ottawa Carleton Detention Centre,0,1,1
886,2020-09-08,Western,South West Detention Center,1,0,0
887,2020-09-08,Toronto,Toronto East Detention Centre,0,1,0
888,2020-09-08,Western,Elgin-Middlesex Det. Centre,0,1,0
889,2020-09-09,Northern,Monteith Correctional Centre,0,1,0
890,2020-09-09,Central,Maplehurst Correctional Complex,0,6,3
891,2020-09-09,Central,Ontario Correctional Institute,0,89,2
892,2020-09-09,Toronto,Toronto South Detention Centre,0,12,7
893,2020-09-09,Central,Milton-Vanier Centre For Women,0,1,3
894,2020-09-09,Central,Hamilton Wentworth Det Centre,0,1,0
895,2020-09-09,Eastern,Central East Correctional Centre,0,1,2
896,2020-09-09,Central,Niagara Detention Centre,0,1,1
897,2020-09-09,Western,Central North Correctional Centre,0,1,1
898,2020-09-09,Northern,Kenora Jail,0,2,0
899,2020-09-09,Western,Ottawa Carleton Detention Centre,0,1,1
900,2020-09-09,Western,South West Detention Center,1,0,0
901,2020-09-09,Toronto,Toronto East Detention Centre,0,1,0
902,2020-09-09,Western,Elgin-Middlesex Det. Centre,0,1,0
903,2020-09-10,Northern,Monteith Correctional Centre,0,1,0
904,2020-09-10,Central,Maplehurst Correctional Complex,0,6,3
905,2020-09-10,Central,Ontario Correctional Institute,0,89,2
906,2020-09-10,Toronto,Toronto South Detention Centre,0,12,7
907,2020-09-10,Central,Milton-Vanier Centre For Women,0,1,3
908,2020-09-10,Central,Hamilton Wentworth Det Centre,0,1,0
909,2020-09-10,Eastern,Central East Correctional Centre,0,1,2
910,2020-09-10,Central,Niagara Detention Centre,0,1,1
911,2020-09-10,Western,Central North Correctional Centre,0,1,1
912,2020-09-10,Northern,Kenora Jail,0,2,0
913,2020-09-10,Western,Ottawa Carleton Detention Centre,0,1,1
914,2020-09-10,Western,South West Detention Center,1,0,0
915,2020-09-10,Toronto,Toronto East Detention Centre,0,1,0
916,2020-09-10,Western,Elgin-Middlesex Det. Centre,0,1,0
917,2020-09-13,Northern,Monteith Correctional Centre,0,1,0
918,2020-09-13,Central,Maplehurst Correctional Complex,0,6,3
919,2020-09-13,Central,Ontario Correctional Institute,0,89,2
920,2020-09-13,Toronto,Toronto South Detention Centre,1,12,7
921,2020-09-13,Central,Milton-Vanier Centre For Women,0,1,3
922,2020-09-13,Central,Hamilton Wentworth Det Centre,0,1,0
923,2020-09-13,Eastern,Central East Correctional Centre,0,1,2
924,2020-09-13,Central,Niagara Detention Centre,0,1,1
925,2020-09-13,Western,Central North Correctional Centre,0,1,1
926,2020-09-13,Northern,Kenora Jail,0,2,0
927,2020-09-13,Western,Ottawa Carleton Detention Centre,0,1,1
928,2020-09-13,Western,South West Detention Center,1,0,0
929,2020-09-13,Toronto,Toronto East Detention Centre,0,1,0
930,2020-09-13,Western,Elgin-Middlesex Det. Centre,0,1,0
931,2020-09-14,Northern,Monteith Correctional Centre,0,1,0
932,2020-09-14,Central,Maplehurst Correctional Complex,0,6,3
933,2020-09-14,Central,Ontario Correctional Institute,0,89,2
934,2020-09-14,Toronto,Toronto South Detention Centre,1,12,7
935,2020-09-14,Central,Milton-Vanier Centre For Women,0,1,3
936,2020-09-14,Central,Hamilton Wentworth Det Centre,0,1,0
937,2020-09-14,Eastern,Central East Correctional Centre,0,1,2
938,2020-09-14,Central,Niagara Detention Centre,0,1,1
939,2020-09-14,Western,Central North Correctional Centre,0,1,1
940,2020-09-14,Northern,Kenora Jail,0,2,0
941,2020-09-14,Western,Ottawa Carleton Detention Centre,0,1,1
942,2020-09-14,Western,South West Detention Center,0,1,0
943,2020-09-14,Toronto,Toronto East Detention Centre,0,1,0
944,2020-09-14,Western,Elgin-Middlesex Det. Centre,0,1,0
945,2020-09-15,Northern,Monteith Correctional Centre,0,1,0
946,2020-09-15,Central,Maplehurst Correctional Complex,0,6,3
947,2020-09-15,Central,Ontario Correctional Institute,0,89,2
948,2020-09-15,Toronto,Toronto South Detention Centre,1,12,7
949,2020-09-15,Central,Milton-Vanier Centre For Women,0,1,3
950,2020-09-15,Central,Hamilton Wentworth Det Centre,0,1,0
951,2020-09-15,Eastern,Central East Correctional Centre,0,1,2
952,2020-09-15,Central,Niagara Detention Centre,0,1,1
953,2020-09-15,Western,Central North Correctional Centre,0,1,1
954,2020-09-15,Northern,Kenora Jail,0,2,0
955,2020-09-15,Western,Ottawa Carleton Detention Centre,0,1,1
956,2020-09-15,Western,South West Detention Center,1,1,0
957,2020-09-15,Toronto,Toronto East Detention Centre,0,1,0
958,2020-09-15,Western,Elgin-Middlesex Det. Centre,0,1,0
959,2020-09-16,Northern,Monteith Correctional Centre,0,1,0
960,2020-09-16,Central,Maplehurst Correctional Complex,0,6,3
961,2020-09-16,Central,Ontario Correctional Institute,0,89,2
962,2020-09-16,Toronto,Toronto South Detention Centre,1,12,7
963,2020-09-16,Central,Milton-Vanier Centre For Women,1,1,3
964,2020-09-16,Central,Hamilton Wentworth Det Centre,0,1,0
965,2020-09-16,Eastern,Central East Correctional Centre,0,1,2
966,2020-09-16,Central,Niagara Detention Centre,0,1,1
967,2020-09-16,Western,Central North Correctional Centre,0,1,1
968,2020-09-16,Northern,Kenora Jail,0,2,0
969,2020-09-16,Western,Ottawa Carleton Detention Centre,0,1,1
970,2020-09-16,Western,South West Detention Center,1,1,0
971,2020-09-16,Toronto,Toronto East Detention Centre,0,1,0
972,2020-09-16,Western,Elgin-Middlesex Det. Centre,0,1,0
973,2020-09-17,Northern,Monteith Correctional Centre,0,1,0
974,2020-09-17,Central,Maplehurst Correctional Complex,0,6,3
975,2020-09-17,Central,Ontario Correctional Institute,0,89,2
976,2020-09-17,Toronto,Toronto South Detention Centre,1,12,7
977,2020-09-17,Central,Milton-Vanier Centre For Women,0,1,4
978,2020-09-17,Central,Hamilton Wentworth Det Centre,1,1,0
979,2020-09-17,Eastern,Central East Correctional Centre,0,1,2
980,2020-09-17,Central,Niagara Detention Centre,0,1,1
981,2020-09-17,Western,Central North Correctional Centre,0,1,1
982,2020-09-17,Northern,Kenora Jail,0,2,0
983,2020-09-17,Western,Ottawa Carleton Detention Centre,0,1,1
984,2020-09-17,Western,South West Detention Center,1,1,0
985,2020-09-17,Toronto,Toronto East Detention Centre,0,1,0
986,2020-09-17,Western,Elgin-Middlesex Det. Centre,0,1,0
987,2020-09-20,Northern,Monteith Correctional Centre,0,1,0
988,2020-09-20,Central,Maplehurst Correctional Complex,0,6,3
989,2020-09-20,Central,Ontario Correctional Institute,0,89,2
990,2020-09-20,Toronto,Toronto South Detention Centre,1,12,7
991,2020-09-20,Central,Milton-Vanier Centre For Women,0,1,4
992,2020-09-20,Central,Hamilton Wentworth Det Centre,0,1,1
993,2020-09-20,Eastern,Central East Correctional Centre,0,1,2
994,2020-09-20,Central,Niagara Detention Centre,0,1,1
995,2020-09-20,Western,Central North Correctional Centre,0,1,1
996,2020-09-20,Northern,Kenora Jail,0,2,0
997,2020-09-20,Western,Ottawa Carleton Detention Centre,0,1,1
998,2020-09-20,Western,South West Detention Center,1,1,0
999,2020-09-20,Toronto,Toronto East Detention Centre,0,1,0
1000,2020-09-20,Western,Elgin-Middlesex Det. Centre,0,1,0
1001,2020-09-21,Northern,Monteith Correctional Centre,0,1,0
1002,2020-09-21,Central,Maplehurst Correctional Complex,0,6,3
1003,2020-09-21,Central,Ontario Correctional Institute,0,89,2
1004,2020-09-21,Toronto,Toronto South Detention Centre,1,12,7
1005,2020-09-21,Central,Milton-Vanier Centre For Women,0,1,4
1006,2020-09-21,Central,Hamilton Wentworth Det Centre,0,1,1
1007,2020-09-21,Eastern,Central East Correctional Centre,0,1,2
1008,2020-09-21,Central,Niagara Detention Centre,0,1,1
1009,2020-09-21,Western,Central North Correctional Centre,1,1,1
1010,2020-09-21,Northern,Kenora Jail,0,2,0
1011,2020-09-21,Western,Ottawa Carleton Detention Centre,0,1,1
1012,2020-09-21,Western,South West Detention Center,1,1,0
1013,2020-09-21,Toronto,Toronto East Detention Centre,0,1,0
1014,2020-09-21,Western,Elgin-Middlesex Det. Centre,0,1,0
1015,2020-09-22,Northern,Monteith Correctional Centre,0,1,0
1016,2020-09-22,Central,Maplehurst Correctional Complex,0,6,3
1017,2020-09-22,Central,Ontario Correctional Institute,0,89,2
1018,2020-09-22,Toronto,Toronto South Detention Centre,0,13,7
1019,2020-09-22,Central,Milton-Vanier Centre For Women,0,1,4
1020,2020-09-22,Central,Hamilton Wentworth Det Centre,0,1,1
1021,2020-09-22,Eastern,Central East Correctional Centre,0,1,2
1022,2020-09-22,Central,Niagara Detention Centre,0,1,1
1023,2020-09-22,Western,Central North Correctional Centre,1,1,1
1024,2020-09-22,Northern,Kenora Jail,0,2,0
1025,2020-09-22,Western,Ottawa Carleton Detention Centre,0,1,1
1026,2020-09-22,Western,South West Detention Center,1,1,0
1027,2020-09-22,Toronto,Toronto East Detention Centre,0,1,0
1028,2020-09-22,Western,Elgin-Middlesex Det. Centre,0,1,0
1029,2020-09-23,Northern,Monteith Correctional Centre,0,1,0
1030,2020-09-23,Central,Maplehurst Correctional Complex,0,6,3
1031,2020-09-23,Central,Ontario Correctional Institute,0,89,2
1032,2020-09-23,Toronto,Toronto South Detention Centre,0,13,7
1033,2020-09-23,Central,Milton-Vanier Centre For Women,0,1,4
1034,2020-09-23,Central,Hamilton Wentworth Det Centre,0,1,1
1035,2020-09-23,Eastern,Central East Correctional Centre,0,1,2
1036,2020-09-23,Central,Niagara Detention Centre,0,1,1
1037,2020-09-23,Western,Central North Correctional Centre,1,1,1
1038,2020-09-23,Northern,Kenora Jail,0,2,0
1039,2020-09-23,Western,Ottawa Carleton Detention Centre,0,1,1
1040,2020-09-23,Western,South West Detention Center,1,1,0
1041,2020-09-23,Toronto,Toronto East Detention Centre,0,1,0
1042,2020-09-23,Western,Elgin-Middlesex Det. Centre,0,1,0
1043,2020-09-24,Northern,Monteith Correctional Centre,0,1,0
1044,2020-09-24,Central,Maplehurst Correctional Complex,0,6,3
1045,2020-09-24,Central,Ontario Correctional Institute,0,89,2
1046,2020-09-24,Toronto,Toronto South Detention Centre,0,13,7
1047,2020-09-24,Central,Milton-Vanier Centre For Women,0,1,4
1048,2020-09-24,Western,Elgin-Middlesex Det. Centre,0,1,0
1049,2020-09-24,Central,Hamilton Wentworth Det Centre,0,1,1
1050,2020-09-24,Eastern,Central East Correctional Centre,0,1,2
1051,2020-09-24,Central,Niagara Detention Centre,0,1,1
1052,2020-09-24,Western,Central North Correctional Centre,1,1,1
1053,2020-09-24,Northern,Kenora Jail,0,2,0
1054,2020-09-24,Western,Ottawa Carleton Detention Centre,0,1,1
1055,2020-09-24,Western,South West Detention Center,1,1,0
1056,2020-09-24,Toronto,Toronto East Detention Centre,0,1,0
1057,2020-09-27,Northern,Monteith Correctional Centre,0,1,0
1058,2020-09-27,Central,Maplehurst Correctional Complex,0,6,3
1059,2020-09-27,Central,Ontario Correctional Institute,0,89,2
1060,2020-09-27,Toronto,Toronto South Detention Centre,1,13,7
1061,2020-09-27,Central,Milton-Vanier Centre For Women,0,1,4
1062,2020-09-27,Western,Elgin-Middlesex Det. Centre,0,1,0
1063,2020-09-27,Central,Hamilton Wentworth Det Centre,0,1,1
1064,2020-09-27,Eastern,Central East Correctional Centre,0,1,2
1065,2020-09-27,Central,Niagara Detention Centre,0,1,1
1066,2020-09-27,Western,Central North Correctional Centre,0,2,1
1067,2020-09-27,Northern,Kenora Jail,0,2,0
1068,2020-09-27,Western,Ottawa Carleton Detention Centre,0,1,1
1069,2020-09-27,Western,South West Detention Center,0,2,0
1070,2020-09-27,Toronto,Toronto East Detention Centre,0,1,0
1071,2020-09-28,Northern,Monteith Correctional Centre,0,1,0
1072,2020-09-28,Central,Maplehurst Correctional Complex,0,6,3
1073,2020-09-28,Central,Ontario Correctional Institute,0,89,2
1074,2020-09-28,Toronto,Toronto South Detention Centre,1,13,7
1075,2020-09-28,Central,Milton-Vanier Centre For Women,0,1,4
1076,2020-09-28,Western,Elgin-Middlesex Det. Centre,0,1,0
1077,2020-09-28,Central,Hamilton Wentworth Det Centre,0,1,1
1078,2020-09-28,Eastern,Central East Correctional Centre,0,1,2
1079,2020-09-28,Central,Niagara Detention Centre,0,1,1
1080,2020-09-28,Western,Central North Correctional Centre,0,2,1
1081,2020-09-28,Northern,Kenora Jail,0,2,0
1082,2020-09-28,Western,Ottawa Carleton Detention Centre,0,1,1
1083,2020-09-28,Western,South West Detention Center,0,2,0
1084,2020-09-28,Toronto,Toronto East Detention Centre,0,1,0
1085,2020-09-29,Northern,Monteith Correctional Centre,0,1,0
1086,2020-09-29,Central,Maplehurst Correctional Complex,0,6,3
1087,2020-09-29,Central,Ontario Correctional Institute,0,89,2
1088,2020-09-29,Toronto,Toronto South Detention Centre,1,13,7
1089,2020-09-29,Central,Milton-Vanier Centre For Women,0,1,4
1090,2020-09-29,Western,Elgin-Middlesex Det. Centre,0,1,0
1091,2020-09-29,Central,Hamilton Wentworth Det Centre,0,1,1
1092,2020-09-29,Eastern,Central East Correctional Centre,0,1,2
1093,2020-09-29,Central,Niagara Detention Centre,0,1,1
1094,2020-09-29,Western,Central North Correctional Centre,0,2,1
1095,2020-09-29,Northern,Kenora Jail,0,2,0
1096,2020-09-29,Western,Ottawa Carleton Detention Centre,0,1,1
1097,2020-09-29,Western,South West Detention Center,0,2,0
1098,2020-09-29,Toronto,Toronto East Detention Centre,0,1,0
1099,2020-09-30,Northern,Monteith Correctional Centre,0,1,0
1100,2020-09-30,Central,Maplehurst Correctional Complex,0,6,3
1101,2020-09-30,Central,Ontario Correctional Institute,0,89,2
1102,2020-09-30,Toronto,Toronto South Detention Centre,1,13,7
1103,2020-09-30,Central,Milton-Vanier Centre For Women,0,1,4
1104,2020-09-30,Western,Elgin-Middlesex Det. Centre,0,1,0
1105,2020-09-30,Central,Hamilton Wentworth Det Centre,0,1,1
1106,2020-09-30,Eastern,Central East Correctional Centre,0,1,2
1107,2020-09-30,Central,Niagara Detention Centre,0,1,1
1108,2020-09-30,Western,Central North Correctional Centre,0,2,1
1109,2020-09-30,Northern,Kenora Jail,0,2,0
1110,2020-09-30,Western,Ottawa Carleton Detention Centre,0,1,1
1111,2020-09-30,Western,South West Detention Center,0,2,0
1112,2020-09-30,Toronto,Toronto East Detention Centre,0,1,0
1113,2020-10-01,Northern,Monteith Correctional Centre,0,1,0
1114,2020-10-01,Central,Maplehurst Correctional Complex,0,6,3
1115,2020-10-01,Central,Ontario Correctional Institute,0,89,2
1116,2020-10-01,Toronto,Toronto South Detention Centre,1,13,7
1117,2020-10-01,Central,Milton-Vanier Centre For Women,0,1,4
1118,2020-10-01,Western,Elgin-Middlesex Det. Centre,0,1,0
1119,2020-10-01,Central,Hamilton Wentworth Det Centre,0,1,1
1120,2020-10-01,Eastern,Central East Correctional Centre,0,1,2
1121,2020-10-01,Central,Niagara Detention Centre,0,1,1
1122,2020-10-01,Western,Central North Correctional Centre,0,2,1
1123,2020-10-01,Northern,Kenora Jail,0,2,0
1124,2020-10-01,Western,Ottawa Carleton Detention Centre,0,1,1
1125,2020-10-01,Western,South West Detention Center,0,2,0
1126,2020-10-01,Toronto,Toronto East Detention Centre,0,1,0
1127,2020-10-04,Northern,Monteith Correctional Centre,0,1,0
1128,2020-10-04,Central,Maplehurst Correctional Complex,0,6,3
1129,2020-10-04,Central,Ontario Correctional Institute,0,89,2
1130,2020-10-04,Toronto,Toronto South Detention Centre,2,13,7
1131,2020-10-04,Central,Milton-Vanier Centre For Women,0,1,4
1132,2020-10-04,Western,Elgin-Middlesex Det. Centre,0,1,0
1133,2020-10-04,Central,Hamilton Wentworth Det Centre,0,1,1
1134,2020-10-04,Eastern,Central East Correctional Centre,0,1,2
1135,2020-10-04,Central,Niagara Detention Centre,0,1,1
1136,2020-10-04,Western,Central North Correctional Centre,0,2,1
1137,2020-10-04,Northern,Kenora Jail,0,2,0
1138,2020-10-04,Western,Ottawa Carleton Detention Centre,0,1,1
1139,2020-10-04,Western,South West Detention Center,0,2,0
1140,2020-10-04,Toronto,Toronto East Detention Centre,0,1,0
1141,2020-10-05,Northern,Monteith Correctional Centre,0,1,0
1142,2020-10-05,Central,Maplehurst Correctional Complex,0,6,3
1143,2020-10-05,Central,Ontario Correctional Institute,0,89,2
1144,2020-10-05,Toronto,Toronto South Detention Centre,2,13,7
1145,2020-10-05,Central,Milton-Vanier Centre For Women,0,1,4
1146,2020-10-05,Western,Elgin-Middlesex Det. Centre,0,1,0
1147,2020-10-05,Central,Hamilton Wentworth Det Centre,0,1,1
1148,2020-10-05,Eastern,Central East Correctional Centre,0,1,2
1149,2020-10-05,Central,Niagara Detention Centre,0,1,1
1150,2020-10-05,Western,Central North Correctional Centre,0,2,1
1151,2020-10-05,Northern,Kenora Jail,0,2,0
1152,2020-10-05,Western,Ottawa Carleton Detention Centre,0,1,1
1153,2020-10-05,Western,South West Detention Center,0,2,0
1154,2020-10-05,Toronto,Toronto East Detention Centre,0,1,0
1155,2020-10-06,Northern,Monteith Correctional Centre,0,1,0
1156,2020-10-06,Central,Maplehurst Correctional Complex,0,6,3
1157,2020-10-06,Central,Ontario Correctional Institute,0,89,2
1158,2020-10-06,Toronto,Toronto South Detention Centre,2,13,7
1159,2020-10-06,Central,Milton-Vanier Centre For Women,0,1,4
1160,2020-10-06,Western,Elgin-Middlesex Det. Centre,0,1,0
1161,2020-10-06,Central,Hamilton Wentworth Det Centre,0,1,1
1162,2020-10-06,Eastern,Central East Correctional Centre,0,1,2
1163,2020-10-06,Central,Niagara Detention Centre,0,1,1
1164,2020-10-06,Western,Central North Correctional Centre,0,2,1
1165,2020-10-06,Northern,Kenora Jail,0,2,0
1166,2020-10-06,Western,Ottawa Carleton Detention Centre,0,1,1
1167,2020-10-06,Western,South West Detention Center,0,2,0
1168,2020-10-06,Toronto,Toronto East Detention Centre,0,1,0
1169,2020-10-07,Northern,Monteith Correctional Centre,0,1,0
1170,2020-10-07,Central,Maplehurst Correctional Complex,0,6,3
1171,2020-10-07,Central,Ontario Correctional Institute,0,89,2
1172,2020-10-07,Toronto,Toronto South Detention Centre,1,14,7
1173,2020-10-07,Central,Milton-Vanier Centre For Women,0,1,4
1174,2020-10-07,Western,Elgin-Middlesex Det. Centre,0,1,0
1175,2020-10-07,Central,Hamilton Wentworth Det Centre,0,1,1
1176,2020-10-07,Eastern,Central East Correctional Centre,0,1,2
1177,2020-10-07,Central,Niagara Detention Centre,0,1,1
1178,2020-10-07,Western,Central North Correctional Centre,0,2,1
1179,2020-10-07,Northern,Kenora Jail,0,2,0
1180,2020-10-07,Western,Ottawa Carleton Detention Centre,0,1,1
1181,2020-10-07,Western,South West Detention Center,0,2,0
1182,2020-10-07,Toronto,Toronto East Detention Centre,0,1,0
1183,2020-10-08,Northern,Monteith Correctional Centre,0,1,0
1184,2020-10-08,Central,Maplehurst Correctional Complex,0,6,3
1185,2020-10-08,Central,Ontario Correctional Institute,0,89,2
1186,2020-10-08,Toronto,Toronto South Detention Centre,0,15,7
1187,2020-10-08,Central,Milton-Vanier Centre For Women,0,1,4
1188,2020-10-08,Western,Elgin-Middlesex Det. Centre,0,1,0
1189,2020-10-08,Central,Hamilton Wentworth Det Centre,0,1,1
1190,2020-10-08,Eastern,Central East Correctional Centre,0,1,2
1191,2020-10-08,Central,Niagara Detention Centre,0,1,1
1192,2020-10-08,Western,Central North Correctional Centre,0,2,1
1193,2020-10-08,Northern,Kenora Jail,0,2,0
1194,2020-10-08,Western,Ottawa Carleton Detention Centre,0,1,1
1195,2020-10-08,Western,South West Detention Center,0,2,0
1196,2020-10-08,Toronto,Toronto East Detention Centre,0,1,0
1197,2020-10-12,Northern,Monteith Correctional Centre,0,1,0
1198,2020-10-12,Central,Maplehurst Correctional Complex,0,6,3
1199,2020-10-12,Central,Ontario Correctional Institute,0,89,2
1200,2020-10-12,Toronto,Toronto South Detention Centre,0,14,8
1201,2020-10-12,Central,Milton-Vanier Centre For Women,1,1,4
1202,2020-10-12,Western,Elgin-Middlesex Det. Centre,0,1,0
1203,2020-10-12,Central,Hamilton Wentworth Det Centre,0,1,1
1204,2020-10-12,Eastern,Central East Correctional Centre,0,1,2
1205,2020-10-12,Central,Niagara Detention Centre,0,1,1
1206,2020-10-12,Western,Central North Correctional Centre,0,2,1
1207,2020-10-12,Northern,Kenora Jail,0,2,0
1208,2020-10-12,Western,Ottawa Carleton Detention Centre,0,1,1
1209,2020-10-12,Western,South West Detention Center,0,2,0
1210,2020-10-12,Toronto,Toronto East Detention Centre,0,1,0
1211,2020-10-13,Northern,Monteith Correctional Centre,0,1,0
1212,2020-10-13,Central,Maplehurst Correctional Complex,0,6,3
1213,2020-10-13,Central,Ontario Correctional Institute,0,89,2
1214,2020-10-13,Toronto,Toronto South Detention Centre,0,14,8
1215,2020-10-13,Central,Milton-Vanier Centre For Women,1,1,4
1216,2020-10-13,Western,Elgin-Middlesex Det. Centre,0,1,0
1217,2020-10-13,Central,Hamilton Wentworth Det Centre,0,1,1
