_id,Reported_Date,Region,Institution,Total_Active_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date
98,2020-05-28,Central,Maplehurst Correctional Complex,4,0,2
99,2020-05-28,Central,Ontario Correctional Institute,1,88,2
100,2020-05-28,Toronto,Toronto South Detention Centre,2,6,2
101,2020-05-28,Central,Milton-Vanier Centre For Women,1,0,2
102,2020-05-28,Central,Hamilton Wentworth Det Centre,0,1,0
103,2020-05-28,Eastern,Central East Correctional Centre,1,0,1
104,2020-05-28,Central,Niagara Detention Centre,0,0,1
105,2020-05-29,Northern,Monteith Correctional Centre,0,1,0
106,2020-05-29,Central,Maplehurst Correctional Complex,3,1,2
107,2020-05-29,Central,Ontario Correctional Institute,1,88,2
108,2020-05-29,Toronto,Toronto South Detention Centre,2,6,2
109,2020-05-29,Central,Milton-Vanier Centre For Women,1,1,2
110,2020-05-29,Central,Hamilton Wentworth Det Centre,0,1,0
111,2020-05-29,Eastern,Central East Correctional Centre,1,0,1
112,2020-05-29,Central,Niagara Detention Centre,0,0,1
113,2020-05-29,Western,Central North Correctional Centre,1,0,0
114,2020-06-01,Northern,Monteith Correctional Centre,0,1,0
115,2020-06-01,Central,Maplehurst Correctional Complex,3,1,2
116,2020-06-01,Central,Ontario Correctional Institute,1,88,2
117,2020-06-01,Toronto,Toronto South Detention Centre,3,6,2
118,2020-06-01,Central,Milton-Vanier Centre For Women,1,1,2
119,2020-06-01,Central,Hamilton Wentworth Det Centre,0,1,0
120,2020-06-01,Eastern,Central East Correctional Centre,1,0,1
121,2020-06-01,Central,Niagara Detention Centre,0,0,1
122,2020-06-01,Western,Central North Correctional Centre,1,0,0
123,2020-06-02,Northern,Monteith Correctional Centre,0,1,0
124,2020-06-02,Central,Maplehurst Correctional Complex,1,3,2
125,2020-06-02,Central,Ontario Correctional Institute,1,88,2
126,2020-06-02,Toronto,Toronto South Detention Centre,3,6,2
127,2020-06-02,Central,Milton-Vanier Centre For Women,1,1,2
128,2020-06-02,Central,Hamilton Wentworth Det Centre,0,1,0
129,2020-06-02,Eastern,Central East Correctional Centre,1,0,1
